Date,SPX
01-02-1990 00:00,328.79
02-02-1990 00:00,330.92
05-02-1990 00:00,331.85
06-02-1990 00:00,329.66
07-02-1990 00:00,333.75
08-02-1990 00:00,332.96
09-02-1990 00:00,333.62
12-02-1990 00:00,330.08
13-02-1990 00:00,331.02
14-02-1990 00:00,332.01
15-02-1990 00:00,334.89
16-02-1990 00:00,332.72
20-02-1990 00:00,327.99
21-02-1990 00:00,327.67
22-02-1990 00:00,325.7
23-02-1990 00:00,324.15
26-02-1990 00:00,328.67
27-02-1990 00:00,330.26
28-02-1990 00:00,331.89
01-03-1990 00:00,332.74
02-03-1990 00:00,335.54
05-03-1990 00:00,333.74
06-03-1990 00:00,337.93
07-03-1990 00:00,336.95
08-03-1990 00:00,340.27
09-03-1990 00:00,337.93
12-03-1990 00:00,338.67
13-03-1990 00:00,336
14-03-1990 00:00,336.87
15-03-1990 00:00,338.07
16-03-1990 00:00,341.91
19-03-1990 00:00,343.53
20-03-1990 00:00,341.57
21-03-1990 00:00,339.74
22-03-1990 00:00,335.69
23-03-1990 00:00,337.22
26-03-1990 00:00,337.63
27-03-1990 00:00,341.5
28-03-1990 00:00,342
29-03-1990 00:00,340.79
30-03-1990 00:00,339.94
02-04-1990 00:00,338.7
03-04-1990 00:00,343.64
04-04-1990 00:00,341.09
05-04-1990 00:00,340.73
06-04-1990 00:00,340.08
09-04-1990 00:00,341.37
10-04-1990 00:00,342.07
11-04-1990 00:00,341.92
12-04-1990 00:00,344.34
16-04-1990 00:00,344.74
17-04-1990 00:00,344.68
18-04-1990 00:00,340.72
19-04-1990 00:00,338.09
20-04-1990 00:00,335.12
23-04-1990 00:00,331.05
24-04-1990 00:00,330.36
25-04-1990 00:00,332.03
26-04-1990 00:00,332.92
27-04-1990 00:00,329.11
30-04-1990 00:00,330.8
01-05-1990 00:00,332.25
02-05-1990 00:00,334.48
03-05-1990 00:00,335.57
04-05-1990 00:00,338.39
07-05-1990 00:00,340.53
08-05-1990 00:00,342.01
09-05-1990 00:00,342.86
10-05-1990 00:00,343.82
11-05-1990 00:00,352
14-05-1990 00:00,354.75
15-05-1990 00:00,354.28
16-05-1990 00:00,354
17-05-1990 00:00,354.47
18-05-1990 00:00,354.64
21-05-1990 00:00,358
22-05-1990 00:00,358.43
23-05-1990 00:00,359.29
24-05-1990 00:00,358.41
25-05-1990 00:00,354.58
29-05-1990 00:00,360.65
30-05-1990 00:00,360.86
31-05-1990 00:00,361.23
01-06-1990 00:00,363.16
04-06-1990 00:00,367.4
05-06-1990 00:00,366.64
06-06-1990 00:00,364.96
07-06-1990 00:00,363.15
08-06-1990 00:00,358.71
11-06-1990 00:00,361.63
12-06-1990 00:00,366.25
13-06-1990 00:00,364.9
14-06-1990 00:00,362.9
15-06-1990 00:00,362.91
18-06-1990 00:00,356.88
19-06-1990 00:00,358.47
20-06-1990 00:00,359.1
21-06-1990 00:00,360.47
22-06-1990 00:00,355.43
25-06-1990 00:00,352.31
26-06-1990 00:00,352.06
27-06-1990 00:00,355.14
28-06-1990 00:00,357.63
29-06-1990 00:00,358.02
02-07-1990 00:00,359.54
03-07-1990 00:00,360.16
05-07-1990 00:00,355.68
06-07-1990 00:00,358.42
09-07-1990 00:00,359.52
10-07-1990 00:00,356.49
11-07-1990 00:00,361.23
12-07-1990 00:00,365.44
13-07-1990 00:00,367.31
16-07-1990 00:00,368.95
17-07-1990 00:00,367.52
18-07-1990 00:00,364.22
19-07-1990 00:00,365.32
20-07-1990 00:00,361.61
23-07-1990 00:00,355.31
24-07-1990 00:00,355.79
25-07-1990 00:00,357.09
26-07-1990 00:00,355.91
27-07-1990 00:00,353.44
30-07-1990 00:00,355.55
31-07-1990 00:00,356.15
01-08-1990 00:00,355.52
02-08-1990 00:00,351.48
03-08-1990 00:00,344.86
06-08-1990 00:00,334.43
07-08-1990 00:00,334.83
08-08-1990 00:00,338.35
09-08-1990 00:00,339.94
10-08-1990 00:00,335.52
13-08-1990 00:00,338.84
14-08-1990 00:00,339.39
15-08-1990 00:00,340.06
16-08-1990 00:00,332.39
17-08-1990 00:00,327.83
20-08-1990 00:00,328.51
21-08-1990 00:00,321.86
22-08-1990 00:00,316.55
23-08-1990 00:00,307.06
24-08-1990 00:00,311.51
27-08-1990 00:00,321.44
28-08-1990 00:00,321.34
29-08-1990 00:00,324.19
30-08-1990 00:00,318.71
31-08-1990 00:00,322.56
04-09-1990 00:00,323.09
05-09-1990 00:00,324.39
06-09-1990 00:00,320.46
07-09-1990 00:00,323.4
10-09-1990 00:00,321.63
11-09-1990 00:00,321.04
12-09-1990 00:00,322.54
13-09-1990 00:00,318.65
14-09-1990 00:00,316.83
17-09-1990 00:00,317.77
18-09-1990 00:00,318.6
19-09-1990 00:00,316.6
20-09-1990 00:00,311.48
21-09-1990 00:00,311.32
24-09-1990 00:00,304.59
25-09-1990 00:00,308.26
26-09-1990 00:00,305.06
27-09-1990 00:00,300.97
28-09-1990 00:00,306.05
01-10-1990 00:00,314.94
02-10-1990 00:00,315.21
03-10-1990 00:00,311.4
04-10-1990 00:00,312.69
05-10-1990 00:00,311.5
08-10-1990 00:00,313.48
09-10-1990 00:00,305.1
10-10-1990 00:00,300.39
11-10-1990 00:00,295.46
12-10-1990 00:00,300.03
15-10-1990 00:00,303.23
16-10-1990 00:00,298.92
17-10-1990 00:00,298.76
18-10-1990 00:00,305.74
19-10-1990 00:00,312.48
22-10-1990 00:00,314.76
23-10-1990 00:00,312.36
24-10-1990 00:00,312.6
25-10-1990 00:00,310.17
26-10-1990 00:00,304.71
29-10-1990 00:00,301.88
30-10-1990 00:00,304.06
31-10-1990 00:00,304
01-11-1990 00:00,307.02
02-11-1990 00:00,311.85
05-11-1990 00:00,314.59
06-11-1990 00:00,311.62
07-11-1990 00:00,306.01
08-11-1990 00:00,307.61
09-11-1990 00:00,313.74
12-11-1990 00:00,319.48
13-11-1990 00:00,317.67
14-11-1990 00:00,320.4
15-11-1990 00:00,317.02
16-11-1990 00:00,317.12
19-11-1990 00:00,319.34
20-11-1990 00:00,315.31
21-11-1990 00:00,316.03
23-11-1990 00:00,315.1
26-11-1990 00:00,316.51
27-11-1990 00:00,318.1
28-11-1990 00:00,317.95
29-11-1990 00:00,316.42
30-11-1990 00:00,322.22
